name,abbreviation,clusters
Victoria,VIC,Hycel Technology Hub
New South Wales,NSW,HRS hydrogen trucks targets between Queensland and New South Wales
Western Australia,WA,Pilbara Industrial Hydrogen Hub; Strike Energy hydrogen production
South Australia,SA,Eyre Peninsula Plant; HRS and FCEV production; Hydrogen focused technology fund; Port Bonython; Wyhalla Plant
Northern Territory,NT,
Australian Capital Territory,ACT,
Tasmania,TAS,Belly Bay Facility; George Town: LINE hydrogen facility; State funded technology trials
Other Territories,,
Queensland,QLD,Austrum hydrogen solar complex to power green hydrogen; Hydrogen production to replace coal; HRS hydrogen trucks targets between Queensland and New South Wales
